timestamp,duration,session_id,source_ip,source_port,destination_ip,destination_port,protocol,num_auth_attempts
2025-01-09 17:26:09.579981,1,ea2e1eb0-5a6f-4107-80a5-d889b0515f50,167.94.138.39,58306,35.181.167.143,993,imaps,0
2025-01-09 17:26:16.229425,1,a170c4ab-4efb-4550-9eb1-0575916d022b,167.94.138.39,38208,35.181.167.143,993,imaps,0
2025-01-09 17:49:11.967062,0,a9549fcc-04c8-43d3-99b5-c9a3d19692e6,65.49.20.67,60422,35.181.167.143,993,imaps,0
2025-01-09 18:03:12.854654,0,aeff5bcf-4135-4757-bfdd-74f64baafd01,66.240.223.202,35128,35.181.167.143,5900,vnc,0
2025-01-09 18:28:52.852807,0,19ab7dc4-ac52-4cfd-a84b-f193c8840612,205.210.31.93,55898,35.181.167.143,143,imap,0
2025-01-09 18:43:47.525800,1,a6a267a0-9922-4b69-8380-248bc65453e8,64.62.197.182,51446,35.181.167.143,5900,vnc,0
2025-01-09 18:46:21.953237,0,7915468e-2b96-48c9-97ed-63a83e77bc79,198.235.24.138,60380,35.181.167.143,993,imaps,0
2025-01-09 18:58:23.180674,0,61e3031e-2ac8-47b5-825f-62952432761a,45.79.191.233,61000,35.181.167.143,143,imap,0
2025-01-09 19:05:36.570173,1,4bc30c57-1bd8-405d-aad7-53a858011705,71.6.167.142,59258,35.181.167.143,110,pop3,0
2025-01-09 19:10:14.362897,0,a4edacb3-756e-44c5-a0b1-1b610b15dabc,45.79.138.166,61000,35.181.167.143,110,pop3,0
2025-01-09 20:58:31.071928,0,974b5c49-ff56-4ca1-b79b-0f7412d0bb99,45.79.134.229,61000,35.181.167.143,143,imap,0
2025-01-09 21:09:45.896528,0,241e1259-ee77-4217-912b-08bb3e7e938e,96.126.107.88,61000,35.181.167.143,110,pop3,0
2025-01-09 21:16:34.637280,0,d991857f-8747-4b14-995f-382b3f62d110,45.91.171.169,50928,35.181.167.143,110,pop3,0
2025-01-09 21:30:42.531647,0,43da6451-cb6a-4940-a534-0bf8893369b4,205.210.31.152,58292,35.181.167.143,143,imap,0
2025-01-09 21:30:44.473271,0,28728c41-d88a-4283-9865-a9f7aa3369d8,205.210.31.152,58298,35.181.167.143,143,imap,0
2025-01-09 21:56:47.597361,9,e5446ee8-616d-4e8e-b647-587974f8bd39,154.212.141.163,53752,35.181.167.143,993,imaps,0
2025-01-09 22:17:21.771798,0,e7addb1e-31f8-4e74-8fe3-ae95a27c2cc4,45.79.168.217,61000,35.181.167.143,143,imap,0
2025-01-09 22:31:42.748948,0,44af6ec9-abe4-44a4-834e-866a5d0a9d75,50.116.48.29,61000,13.37.222.227,110,pop3,0
2025-01-09 23:00:04.636299,10,a03ddaa2-e0da-4e3b-84dc-37c1302adbd7,185.167.97.244,44962,13.37.222.227,5432,postgresql,0
2025-01-09 23:04:45.308997,10,bbc381fd-0310-43da-89ee-945639cf8d04,185.167.96.146,55958,13.37.222.227,5432,postgresql,0
